METER_NO,TASK,REASON
111230220169,Disconnect,16.04.2024 17:29:57 da qarzdor: 42358.66
121205689382,Connect,16.04.2024 17:29:57 da haqdor: -39761.96
111210093068,Disconnect,16.04.2024 17:29:57 da qarzdor: 2043396.85
021190341539,Connect,16.04.2024 17:29:57 da haqdor: -39856.4
111210614823,Disconnect,16.04.2024 17:29:57 da qarzdor: 52085.46
111210554656,Disconnect,16.04.2024 17:29:57 da qarzdor: 263570.16
111210260109,Disconnect,16.04.2024 17:29:57 da qarzdor: 8134.71
121205817957,Connect,16.04.2024 17:29:57 da haqdor: -55754.57
021218392003,Disconnect,16.04.2024 17:29:57 da qarzdor: 1300.7
111200306951,Disconnect,16.04.2024 17:29:57 da qarzdor: 5125
121206302048,Disconnect,16.04.2024 17:29:57 da qarzdor: 1290685.06
111200787812,Disconnect,16.04.2024 17:29:57 da qarzdor: 1607.44
021190603209,Disconnect,16.04.2024 17:29:57 da qarzdor: 827.91
021190771417,Disconnect,16.04.2024 17:29:57 da qarzdor: 5578.4
021198172629,Disconnect,16.04.2024 17:29:57 da qarzdor: 443.53
021230301848,Disconnect,16.04.2024 17:29:57 da qarzdor: 470530
111200027378,Disconnect,16.04.2024 17:29:58 da qarzdor: 412.65
121205447571,Disconnect,16.04.2024 17:29:58 da qarzdor: 140
021218341415,Disconnect,16.04.2024 17:29:58 da qarzdor: 3391.21
111200074765,Disconnect,16.04.2024 17:29:58 da qarzdor: 46984.59
111210754946,Disconnect,16.04.2024 17:29:58 da qarzdor: 244942.68
EX-3367901,Disconnect,16.04.2024 17:29:58 da qarzdor: 36380.43
021190529121,Disconnect,16.04.2024 17:29:58 da qarzdor: 12063.59
021230307693,Disconnect,16.04.2024 17:29:58 da qarzdor: 1386297.34
021190436773,Connect,16.04.2024 17:29:58 da haqdor: -606.08
021190358053,Connect,16.04.2024 17:29:58 da haqdor: -52523.02
021198269802,Disconnect,16.04.2024 17:29:58 da qarzdor: 2280272.93
021190325802,Disconnect,16.04.2024 17:29:58 da qarzdor: 4664.08
021190814400,Disconnect,16.04.2024 17:29:58 da qarzdor: 383406.93
021190680087,Connect,16.04.2024 17:29:58 da haqdor: -3369.54
021180133637,Connect,16.04.2024 17:29:58 da haqdor: -7803.72
021180131546,Connect,16.04.2024 17:29:58 da haqdor: -426.56
021190687898,Connect,16.04.2024 17:29:58 da haqdor: -9054.55
021230308555,Disconnect,16.04.2024 17:29:58 da qarzdor: 35960.61
021190336882,Disconnect,16.04.2024 17:29:58 da qarzdor: 6488890.5
111230270031,Disconnect,16.04.2024 17:29:58 da qarzdor: 0
111200197925,Connect,16.04.2024 17:29:59 da haqdor: -44015.32
111200613721,Disconnect,16.04.2024 17:29:59 da qarzdor: 79226.39
201910016372,Disconnect,16.04.2024 17:29:59 da qarzdor: 11107.39
201920041440,Disconnect,16.04.2024 17:29:59 da qarzdor: 4810814.5
111201067120,Disconnect,16.04.2024 17:29:59 da qarzdor: 9832.62
111230202843,Disconnect,16.04.2024 17:29:59 da qarzdor: 390982.4
111201112771,Disconnect,16.04.2024 17:29:59 da qarzdor: 7818.14
201920041700,Connect,16.04.2024 17:29:59 da haqdor: -84309.24
021198272284,Connect,16.04.2024 17:29:59 da haqdor: -31895.3
111200914891,Connect,16.04.2024 17:29:59 da haqdor: -63580.45
121206844926,Connect,16.04.2024 17:29:59 da haqdor: -34611.45
111220035185,Disconnect,16.04.2024 17:29:59 da qarzdor: 23586.76
111220167522,Connect,16.04.2024 17:29:59 da haqdor: -112278.72
111200331440,Connect,16.04.2024 17:29:59 da haqdor: -63694.77
201923013033,Connect,16.04.2024 17:29:59 da haqdor: -38317.35
021198136160,Disconnect,16.04.2024 17:29:59 da qarzdor: 141.93
111210573504,Disconnect,16.04.2024 17:29:59 da qarzdor: 273959.16
121206491438,Disconnect,16.04.2024 17:29:59 da qarzdor: 138.97
EX-2908314,Disconnect,16.04.2024 17:29:59 da qarzdor: 833.14
021191020792,Connect,16.04.2024 17:29:59 da haqdor: -2709.34
021221195982,Disconnect,16.04.2024 17:29:59 da qarzdor: 948425
021190346777,Connect,16.04.2024 17:30:00 da haqdor: -76321.08
021190335158,Connect,16.04.2024 17:30:00 da haqdor: -52649.3
021190818052,Disconnect,16.04.2024 17:30:00 da qarzdor: 0
