METER_NO,TASK,REASON
121205297391,Connect,09.04.2024 16:25:47 da haqdor: -5000.25
111210596823,Connect,09.04.2024 16:25:47 da haqdor: -44108.45
021190274270,Connect,09.04.2024 16:25:47 da haqdor: -19088.03
121205427669,Connect,09.04.2024 16:25:47 da haqdor: -3990.19
121205745867,Connect,09.04.2024 16:25:47 da haqdor: -18095.96
111210534653,Connect,09.04.2024 16:25:47 da haqdor: -38520.97
121205147592,Connect,09.04.2024 16:25:47 da haqdor: -29287.75
113210039350,Connect,09.04.2024 16:25:47 da haqdor: -249738.56
111220163307,Connect,09.04.2024 16:25:47 da haqdor: -17475
121206721326,Connect,09.04.2024 16:25:47 da haqdor: -2695.67
121206592843,Connect,09.04.2024 16:25:47 da haqdor: -98250.83
121205735553,Connect,09.04.2024 16:25:47 da haqdor: -20520.94
021198011240,Connect,09.04.2024 16:25:48 da haqdor: -66921.02
111190008391,Disconnect,09.04.2024 16:25:48 da qarzdor: 587355.72
121206140120,Connect,09.04.2024 16:25:48 da haqdor: -64953.69
EX-2798996,Connect,09.04.2024 16:25:48 da haqdor: -135602.03
121206473523,Connect,09.04.2024 16:25:48 da haqdor: -9262.53
EX-2432758,Connect,09.04.2024 16:25:48 da haqdor: -34677.91
EX-2222667,Connect,09.04.2024 16:25:48 da haqdor: -49728.07
021198181098,Connect,09.04.2024 16:25:48 da haqdor: -45058.44
EX-3146536,Connect,09.04.2024 16:25:48 da haqdor: -15004.45
021198148342,Connect,09.04.2024 16:25:48 da haqdor: -99603.69
111210064986,Disconnect,09.04.2024 16:25:48 da qarzdor: 34246.12
111200423592,Connect,09.04.2024 16:25:48 da haqdor: -3628.19
EX-2330319,Connect,09.04.2024 16:25:48 da haqdor: -138710.08
EX-2548966,Connect,09.04.2024 16:25:48 da haqdor: -4997.68
EX-2897234,Connect,09.04.2024 16:25:48 da haqdor: -50571.3
EX-3022535,Connect,09.04.2024 16:25:48 da haqdor: -79002.43
EX-3003309,Connect,09.04.2024 16:25:48 da haqdor: -57152.54
021190905164,Connect,09.04.2024 16:25:49 da haqdor: -96185.43
111200555606,Connect,09.04.2024 16:25:49 da haqdor: -60453.08
121205898825,Connect,09.04.2024 16:25:49 da haqdor: -54900.8
121205323441,Connect,09.04.2024 16:25:49 da haqdor: -7230.92
EX-2217550,Connect,09.04.2024 16:25:49 da haqdor: -62353.69
EX-3023633,Connect,09.04.2024 16:25:49 da haqdor: -33496.94
111210376239,Connect,09.04.2024 16:25:49 da haqdor: -45194.6
EX-3377155,Connect,09.04.2024 16:25:49 da haqdor: -26569.07
021221193687,Connect,09.04.2024 16:25:49 da haqdor: -103895.85
121205345442,Connect,09.04.2024 16:25:49 da haqdor: -4588.73
111220119045,Disconnect,09.04.2024 16:25:49 da qarzdor: 248494.49
111210462402,Connect,09.04.2024 16:25:49 da haqdor: -47468.3
EX-2222534,Connect,09.04.2024 16:25:49 da haqdor: -26804.91
121205477428,Connect,09.04.2024 16:25:49 da haqdor: -23209.43
021230050015,Disconnect,09.04.2024 16:25:49 da qarzdor: 3369127.84
111220178151,Disconnect,09.04.2024 16:25:49 da qarzdor: 9529
